consec	entered	SN	date	ID	geno	tment	sm	no_data_sheet	Obs	HHMMSS	FTime	EBal.	Photo	Cond	Ci	FCnt	DCnt	Fo	Fm	Fo.	Fm.	Fs	Fv.Fm	Fv..Fm.	PhiPS2	Adark	RedAbs	BlueAbs	X.Blue	LeafAbs	PhiCO2	qP	qN	NPQ	ParIn.Fs	PS2.1	ETR	Trmmol	VpdL	CTleaf	Area	BLC_1	StmRat	BLCond	Tair	Tleaf	TBlk	CO2R	CO2S	H2OR	H2OS	RH_R	RH_S	Flow	PARi	PARgrp	genotmentPARgrp	PARo	Press	CsMch	HsMch	StableF	BLCslope	BLCoffst	f_parin	f_parout	alphaK	Status	fda	Trans	Tair_K	Twall_K	R.W.m2.	Tl.Ta	SVTleaf	h2o_i	h20diff	CTair	SVTair	CndTotal	vp_kPa	VpdA	CndCO2	Ci_Pa	Ci.Ca	RHsfc	C2sfc	AHs.Cs	Fv	PARabs	Fv.	qP_Fo	qN_Fo
539	6837	PSC-2784	120814	1845	tur	co	19	NA	80	17:17:09	2324.5	0	-2.186039651	0.205350327	400.729592	46	45	520.4189453	2529.984131	586.0493164	2360.254639	622.8842773	0.794299522	0.751700809	0.736094459	-1	0.87	0.92	6.627887249	0.873313944	-0.026608605	0.979238614	0.087312337	0.071911517	51.03953552	0.5	16.40516719	5.561101787	2.115746489	21.95789909	2	4.644859791	1	9.289719582	21.75478935	21.95789909	20.71401215	401.1038818	401.0742798	3.120393038	6.804875374	9.313807487	20.31131744	299.8119507	51.03953552	50	turco50	284.2905273	78.02565002	42.95233154	-0.121918887	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499059753	0.005561102	295.1078991	294.9047894	8.166325501	-0.957988595	2.646701313	33.92091334	27.11603797	21.85634422	2.630348005	0.200909206	0.530954824	2.099393181	0.125959849	31.2671869	0.999140589	20.16415847	401.3919593	-0.00109817	2009.565186	44.57353805	1774.205322	0.944307346	0.084460804
538	6828	PSC-2784	120814	1845	tur	co	19	NA	71	17:13:04	2080	0	0.538481049	0.230618695	378.3232166	45	44	520.4189453	2529.984131	580.8149414	2256.910889	638.6760254	0.794299522	0.742650477	0.717013184	-1	0.87	0.92	8.288777351	0.874144389	0.01725046	0.965478656	0.140097249	0.120994251	102.0253983	0.5	31.97338511	6.143086071	2.086222897	21.95424461	2	4.644859791	1	9.289719582	21.91157722	21.95424461	20.90997314	401.0513	399.0565796	3.106807709	7.175749302	9.184830666	21.21407318	299.7833557	102.0253983	100	turco100	284.2208557	78.02507782	43.0244751	-0.129231185	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498916779	0.006143086	295.1042446	295.0615772	16.32406336	-1.020967809	2.646111295	33.9136002	26.7378509	21.93291092	2.642669252	0.225032236	0.559888398	2.082780855	0.141136609	29.51869842	0.948044052	21.45506333	398.9783265	0.000289568	2009.565186	89.18492939	1676.095947	0.93189886	0.13588673
537	6817	PSC-2784	120814	1845	tur	co	19	NA	60	17:07:33	1748.5	0	5.480663744	0.260243843	345.4207275	44	43	520.4189453	2529.984131	576.4575195	2113.661621	674.092041	0.794299522	0.727270669	0.681078544	-1	0.87	0.92	10.54369259	0.875271846	0.03670718	0.936485649	0.213113304	0.196967436	201.7091064	0.5	60.12231135	6.772229702	2.044033429	21.89507675	2	4.644859791	1	9.289719582	21.80910683	21.89507675	20.71466827	401.1678772	395.723877	3.111006498	7.59450531	9.254639626	22.59217644	299.8014832	201.7091064	200	turco200	293.9958496	78.02235413	43.08932495	-0.127445906	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499007416	0.00677223	295.0450768	294.9591068	32.27345631	-1.070129694	2.636574612	33.79255396	26.19804865	21.85209179	2.629665172	0.253151998	0.592541183	2.03712399	0.158842231	26.95053832	0.872883209	22.9930007	394.9274163	0.003190888	2009.565186	176.550302	1537.204102	0.903546962	0.207170443
536	6801	PSC-2784	120814	1845	tur	co	19	NA	44	16:59:34	1270	0	12.16342414	0.256230003	297.9782687	43	42	520.4189453	2529.984131	560.2900391	1806.960938	717.2924805	0.794299522	0.689926867	0.603039299	-1	0.87	0.92	10.13598442	0.875067992	0.03766544	0.87406264	0.36707385	0.400132166	399.3778992	0.5	105.3759363	6.724216801	2.060299572	21.98724937	2	4.644859791	1	9.289719582	21.67443085	21.98724937	20.52369308	400.3883667	390.5211792	3.124279499	7.576558113	9.370985031	22.72517967	299.7687683	399.3778992	400	turco400	310.3758545	78.02283478	42.78829956	-0.133774966	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498843842	0.006724217	295.1372494	294.8244308	63.90046244	-0.945055211	2.651444113	33.98292463	26.40636651	21.83084011	2.626255018	0.249352341	0.591144542	2.035110476	0.156448872	23.24910922	0.763027166	22.77623474	388.7535669	0.007126288	2009.565186	349.4828164	1246.670898	0.846974653	0.359790863
535	6791	PSC-2784	120814	1845	tur	co	19	NA	34	16:55:11	1006	0	15.33270964	0.259099874	277.1785878	42	41	520.4189453	2529.984131	537.5571289	1437.790283	692.6450195	0.794299522	0.626122714	0.518257268	-1	0.87	0.92	10.09482861	0.875047414	0.031001908	0.827724751	0.548172579	0.759633627	602.0578613	0.5	136.5165243	6.727002763	2.039282123	21.86108589	2	4.644859791	1	9.289719582	20.93148422	21.86108589	19.54466438	400.2485046	388.2745056	3.130294085	7.585005283	9.826994896	23.81176186	299.7266541	602.0578613	600	turco600	312.6182861	78.02597809	42.71173096	-0.1299555	1	-1.355140209	7.355140209	1	0	0.159999996	111115	1.49863327	0.006727003	295.0110859	294.0814842	96.32925566	-0.842913977	2.631109579	33.72094325	26.13593797	21.39628506	2.557367821	0.252069398	0.591827456	1.965540365	0.158160285	21.62713042	0.713872747	23.00638868	386.0463266	0.009137512	2009.565186	526.8291748	900.2331543	0.812261331	0.543497596
534	6780	PSC-2784	120814	1845	tur	co	19	NA	23	16:49:48	683	0	16.09931135	0.241189935	264.6967947	41	40	520.4189453	2529.984131	522.7265625	1183.018066	662.5090332	0.794299522	0.558141522	0.43998401	-1	0.87	0.92	10.12366104	0.875061831	0.024425235	0.788301879	0.671047944	1.138584526	800.0205078	0.5	154.0092333	6.379741572	2.073687189	21.97579956	2	4.644859791	1	9.289719582	20.78508568	21.97579956	19.35207367	400.3798523	387.9887085	3.156438589	7.38096571	9.998698235	23.38079834	299.8041077	800.0205078	800	turco800	333.8654785	78.02581024	42.66714478	-0.121445864	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499020538	0.006379742	295.1257996	293.9350857	128.0032784	-0.666285093	2.649593019	33.95790458	26.57693887	21.38044262	2.554886601	0.235086364	0.57590583	1.978980771	0.147465419	20.65318188	0.682228088	22.10617636	385.6491255	0.009228446	2009.565186	700.06741	660.2915039	0.78555648	0.670277369
533	6769	PSC-2784	120814	1845	tur	co	19	NA	12	16:44:42	376.5	0	15.014217	0.214420243	260.4029242	40	39	520.4189453	2529.984131	517.8347168	1047.521973	666.1962891	0.794299522	0.505657418	0.36402643	-1	0.87	0.92	10.04519272	0.875022596	0.018304427	0.719907227	0.736755505	1.415208651	999.8395386	0.5	159.2401198	5.815172029	2.120282225	22.10641479	2	4.644859791	1	9.289719582	19.99045753	22.10641479	18.13633156	400.5480957	389.0215759	3.202775955	7.055177212	10.65582085	23.47298241	299.7686157	999.8395386	1000	turco1000	351.605896	78.02705383	42.82211304	-0.113076895	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498843079	0.005815172	295.2564148	293.1404575	159.9743226	-0.479083803	2.670776917	34.22885763	27.17368042	21.04843616	2.503370918	0.209582768	0.550494692	1.952876226	0.131415424	20.31847298	0.66937913	20.76731405	386.8396809	0.008060315	2009.565186	874.882189	529.6872559	0.723436717	0.737702946
541	6859	PSC-2784	120814	1845	tur	co	19	NA	102	17:27:36	2961	0	12.56990316	0.197601066	271.3895459	48	46	546.9179688	2516.872803	524.4936523	1028.388184	692.6914063	0.782699401	0.489984754	0.326430022	-1	0.87	0.92	10.04519272	0.875022596	0.015455198	0.666204447	0.747089036	1.447395685	1001.379578	0.5	143.0138496	5.301095023	2.094692173	21.76974487	2	4.644859791	1	9.289719582	20.35659981	21.76974487	19.17840385	399.2283936	389.4647827	3.174423218	6.68747282	10.32457256	21.75050163	299.7762451	1003.420349	1000	turco1000	264.6207275	78.02360535	42.65420532	-0.112888068	0.75	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498881226	0.005301095	294.9197449	293.5065998	160.5472523	-0.355243398	2.616472913	33.53437593	26.84690311	21.06317234	2.50563801	0.193485449	0.52178074	1.98385727	0.121291554	21.17479083	0.696826922	20.00072031	387.6381001	0.006485614	1969.954834	878.0154791	503.8945313	0.697232699	0.755593272
542	6876	PSC-2784	120814	1845	tur	co	19	NA	119	17:36:15	3470	0	18.5170021	0.26254993	256.111636	49	47	546.9179688	2516.872803	515.9042969	992.0706787	677.7385254	0.782699401	0.479972236	0.316844515	-1	0.87	0.92	10.08777046	0.875043885	0.018556641	0.660130923	0.762032046	1.536989407	1201.943115	0.5	166.6210805	6.794641794	2.032989022	21.90156174	2	4.644859791	1	9.289719582	20.60677338	21.90156174	19.3551693	399.3873901	385.2870789	3.251887083	7.749855995	10.41379261	24.81801987	299.7790527	1201.943115	1200	turco1200	250.8807373	78.0181427	42.51281738	-0.136187285	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.498895264	0.006794642	295.0515617	293.7567734	192.3108941	-0.486642077	2.637618393	33.80775678	26.05790078	21.25416756	2.535184822	0.255333586	0.604629371	1.930555451	0.160216516	19.98135416	0.664729367	23.45121468	382.5961523	0.011349988	1969.954834	1051.752973	476.1663818	0.706122071	0.774028977
543	6885	PSC-2784	120814	1845	tur	co	19	NA	128	17:40:34	3729.5	0	20.55253843	0.301789722	258.4797124	50	48	546.9179688	2516.872803	507.7380371	945.1114502	676.3068848	0.782699401	0.46277443	0.284415733	-1	0.87	0.92	10.05896664	0.875029483	0.017569953	0.614588261	0.782307578	1.663043393	1401.861572	0.5	174.4421528	7.578008177	1.980104775	21.85946274	2	4.644859791	1	9.289719582	20.55671692	21.85946274	19.41112518	399.3843994	383.7339478	3.328034639	8.341146469	10.69031239	26.79342842	299.8057556	1401.861572	1400	turco1400	236.4655457	78.0161438	42.50357056	-0.14248535	0.5	-1.355140209	7.355140209	1	0	0.159999996	111115	1.499028778	0.007578008	295.0094627	293.7067169	224.2978465	-0.497220476	2.630848858	33.72185204	25.38070557	21.20808983	2.528028851	0.292294132	0.650744082	1.877284768	0.183513863	20.16559042	0.673590945	25.53722678	380.7472132	0.013784863	1969.954834	1226.670207	437.3734131	0.675060185	0.797866695
